loss_train,avg_diff,step_idx,avg_score,avg_winning
0.038,0.022,1000,0.28833,0.271
0.045,0.025,2000,0.28073,0.267
0.042,0.022,3000,0.30505,0.292
0.044,0.022,4000,0.28685,0.27
0.035,0.009,5000,0.29823,0.278
0.034,0.03,6000,0.27543,0.252
0.029,0.021,7000,0.29524,0.273
0.03,0.029,8000,0.30527,0.278
0.031,0.021,9000,0.32587,0.302
0.031,0.018,10000,0.31031,0.288
0.029,0.014,11000,0.33812,0.309
0.026,0.023,12000,0.34849,0.323
0.031,0.019,13000,0.35667,0.325
0.026,0.014,14000,0.34152,0.312
0.032,0.021,15000,0.348,0.32
0.037,0.023,16000,0.37329,0.348
0.036,0.009,17000,0.36202,0.332
0.03,0.02,18000,0.36904,0.336
0.028,0.023,19000,0.40714,0.375
0.034,0.01,20000,0.39318,0.36
0.03,0.019,21000,0.43682,0.408
0.031,0.022,22000,0.42464,0.392
0.03,0.014,23000,0.42924,0.403
0.029,0.019,24000,0.43166,0.403
0.03,0.014,25000,0.48534,0.453
0.032,0.017,26000,0.45283,0.426
0.032,0.024,27000,0.47871,0.441
0.031,0.028,28000,0.46825,0.428
0.026,0.017,29000,0.47926,0.444
0.033,0.016,30000,0.48235,0.444
0.028,0.016,31000,0.47448,0.44
0.023,0.014,32000,0.4513,0.42
0.031,0.014,33000,0.48049,0.442
0.034,0.014,34000,0.46866,0.432
0.032,0.015,35000,0.47889,0.442
0.031,0.012,36000,0.45797,0.42
0.035,0.032,37000,0.47363,0.437
0.033,0.016,38000,0.49151,0.452
0.033,0.022,39000,0.47492,0.434
0.031,0.014,40000,0.48664,0.449
0.026,0.017,41000,0.50629,0.467
0.031,0.022,42000,0.49301,0.452
0.017,0.025,43000,0.48039,0.443
0.029,0.024,44000,0.48392,0.443
0.024,0.014,45000,0.4932,0.458
0.029,0.013,46000,0.48894,0.455
0.029,0.022,47000,0.49991,0.464
0.034,0.017,48000,0.50123,0.463
0.031,0.021,49000,0.46507,0.425
0.025,0.02,50000,0.50233,0.463
